Waffles, buttermilk, frozen, ready-to-heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.99,484,2025,6.08,22.42,2.03,64.48,2.7,26.31,19.47,0,0,0,0,34.67,32,4.3,40,120,187,503,2.1,0.77,1.833,2.5,0,0.336,0.265,3.073,0.168,0.043,72,50,22,108,16.4,21.3,0,0,0,0,0,0,0,0,0,12,1.79,0,0.17,11.79,3.49,0.04,0,0,0,0,0,18.2,64.1,4.725,0,0,0,0,0,0.023,0.001,2.587,0.028,1.912,0.088,0.086,14.482,0.019,14.433,0.029,0,2.035,1.972,0.063,0,0,0,0,0,0,0,0.08,0.205,0.225,0.382,0.245,0.073,0.108,0.277,0.164,0.316,0.29,0.112,0.238,0.454,1.318,0.243,0.419,0.26,0,8,,,,,,,,,
Pie, Dutch Apple, Commercially Prepared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.09,290,1215,2.17,11.5,0.7,44.54,1.6,22.02,11.03,4.89,4.57,0,1.53,15.4,14,0.91,8,29,76,200,0.19,0.148,0.233,2.2,5.7,0.193,0.067,1.094,0.096,0.039,21,15,6,32,17,8.4,0,0,18,17,10,0,11,82,1,42,0.96,0,0.07,4.89,1.55,0.02,0,0,0,16.4,2.313,0,0,0,0,0,0,0,1.227,0,1.037,0.02,0.03,0,5.797,0,0,0,0,5.797,0,0,2.117,2,0.117,0,0,0,0,0,0,0,0,0.027,0.063,0.081,0.158,0.043,0.051,0.057,0.104,0.052,0.101,0.084,0.054,0.074,0.122,0.743,0.084,0.251,0.104,0,0,,,,,,,
Pie crust, deep dish, frozen, unbaked, made with enriched flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.78,468,1958,5.52,28.74,1.17,46.79,1.4,41.7,20,2.26,15,68,91,353,0.46,0.079,0.476,4.5,0.227,0.143,2.5,0.36,0.047,77,48,29,111,0,1.24,0.12,8.59,2.54,0.04,0,0,0,15,51.7,8.129,0,0,0,0.162,0,4.515,0.051,3.253,0.087,0.062,14.489,0,0,0.249,0,14.119,0.121,3.53,3.349,0.115,0.056,0,0.011,0.053,0.112,0.197,0.383,0.144,0.083,0.111,0.246,0.103,0.246,0.196,0.096,0.17,0.263,1.839,0.206,0.71,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waffles, chocolate chip, frozen, ready-to-heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.62,297,1242,5.8,10.1,2.8,45.68,1.5,13.1,357,6.4,16,272,74,529,0.4,0.221,0.393,13.1,0,0.43,0.49,5.7,0.218,0.57,75,59,16,117,15.9,1.7,1.1,429,429,0,0,0,1429,0,22,0,0,2,0.1,9.3,3.567,0.002,0.008,0.096,0.072,0.833,0.268,0,1.685,0.002,0.563,0.024,0.014,0,2.564,0,0,0.015,0,2.535,0.013,0,3.272,2.916,0.347,0,0,0.007,0,0,0.002,0.2,21,0.061,0.15,0.179,0.331,0.158,0.085,0.094,0.24,0.156,0.224,0.22,0.103,0.18,0.285,1.336,0.178,0.45,0.248,0,10,,,,,,,,,,,,,,,,,,,
Tostada shells, corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.32,474,1983,6.15,23.38,2.72,64.43,5.8,55.4,76,1.53,76,203,237,657,1.23,0.148,0.363,2.2,0.353,0.094,1.553,0.191,0.363,7.011,0.014,0,0.029,0.132,0.006,5.967,0.021,0.729,0.088,0.026,7.217,0,0,0.054,0,7.086,0.046,8.285,8.025,0.124,0.005,0,0,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread, salvadoran sweet cheese (quesadilla salvadorena),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
