Agave, cooked (Southwest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.4,135,563,0.99,0.29,1.32,32,10.6,20.87,1.72,1.58,17.57,0,0,0,0.24,460,3.55,39,9,59,13,0.25,0.112,0.142,0.2,0.3,0.012,0.099,0.162,0.041,0.087,3,0,3,3,8.8,0.4,0,0,6,0,68,0,0,113,0,0.36,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave, dried (Southwest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.64,341,1427,1.71,0.69,3.98,81.98,15.6,50.7,4.39,3.48,42.83,0,0,0,0.91,770,3.64,207,37,767,14,12.1,0.189,0.337,0.6,0.3,0.021,0.644,0.87,0.15,0.216,7,0,7,7,0,0,1,0,11,0,0,18,0,0.76,0,0,0.03,0,0,0,0,0,0,0,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cattail, Narrow Leaf Shoots (Northern Plains Indians),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.65,25,106,1.18,0,1.03,5.14,4.5,0.22,0.07,0.07,0.07,0,0,0,0,54,0.91,63,45,309,109,0.24,0.041,0.76,0.6,0.7,0.023,0.025,0.44,0.234,0.123,3,3,23.7,1.1,1,6,0,0,11,0,76,22.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambsquarters, raw (Northern Plains Indians),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.23,47,197,4.21,0.28,3.32,6.96,6.3,366,1.16,163,63,1270,7,0.72,0.12,1.49,1.1,0.029,0.3,0.79,0.184,48,48,20,331.7,98,1171,0,0,1952,0,3616,346.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Turnips, boiled (Northern Plains Indians),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.68,129,541,1.64,0.32,0.36,29.99,7.2,4.74,0.75,0.38,0.07,0,3.53,0,15.8,103,0.95,49,20,108,4,0.28,0.038,0.209,2,0.126,0.039,0.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raspberries, wild (Northern Plains Indians),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
